,currency,discount,ean,endTime,lastUpdate,newPrice,originalPrice,percentDiscount,startTime,stock,stockUnit,store brand,store name,store id
5712580297859,DKK,4.75,5712580297859,2020-06-16T21:59:59.000Z,2020-04-18T08:33:53.000Z,5,9.75,48.72,2020-04-18T05:38:40.000Z,3,each,foetex,føtex Ndr. Fasanvej,de063c86-ef9b-4ab0-a855-9cee522e02ba
5712580297842,DKK,17.95,5712580297842,2020-06-16T21:59:59.000Z,2020-04-18T08:48:46.000Z,5,22.95,78.21,2020-04-18T05:38:25.000Z,1,each,foetex,føtex Ndr. Fasanvej,de063c86-ef9b-4ab0-a855-9cee522e02ba
5712580297132,DKK,3.5,5712580297132,2020-04-22T21:59:59.000Z,2020-04-18T09:33:45.000Z,3,6.5,53.85,2020-04-17T15:02:36.000Z,5,each,foetex,føtex Ndr. Fasanvej,de063c86-ef9b-4ab0-a855-9cee522e02ba
5712580297835,DKK,14.95,5712580297835,2020-06-16T21:59:59.000Z,2020-04-18T10:03:49.000Z,5,19.95,74.94,2020-04-18T05:31:32.000Z,3,each,foetex,føtex Ndr. Fasanvej,de063c86-ef9b-4ab0-a855-9cee522e02ba
5712580297804,DKK,6.5,5712580297804,2020-06-16T21:59:59.000Z,2020-04-18T10:18:54.000Z,5,11.5,56.52,2020-04-18T05:10:25.000Z,27,each,foetex,føtex Ndr. Fasanvej,de063c86-ef9b-4ab0-a855-9cee522e02ba
2007502,DKK,11.36,2007502,2020-04-22T21:59:59.000Z,2020-04-18T10:43:48.000Z,9.29,20.65,55,2020-04-17T11:06:46.000Z,72.402,kg,foetex,føtex Frederiksberg,d5afe44f-91f5-45ff-9758-46c3ae29224b
5712580919263,DKK,9.95,5712580919263,2020-04-22T21:59:59.000Z,2020-04-17T13:19:49.000Z,5,14.95,66.56,2020-04-17T11:03:25.000Z,2,each,foetex,føtex Frederiksberg,d5afe44f-91f5-45ff-9758-46c3ae29224b
5712580916149,DKK,9.95,5712580916149,2020-04-20T21:59:59.000Z,2020-04-17T14:49:54.000Z,5,14.95,66.56,2020-04-16T09:49:17.000Z,2,each,foetex,føtex Frederiksberg,d5afe44f-91f5-45ff-9758-46c3ae29224b
5712580915333,DKK,7.95,5712580915333,2020-04-20T21:59:59.000Z,2020-04-17T08:19:38.000Z,5,12.95,61.39,2020-04-16T09:02:50.000Z,6,each,foetex,føtex Frederiksberg,d5afe44f-91f5-45ff-9758-46c3ae29224b
5712580909950,DKK,10.95,5712580909950,2020-04-18T21:59:59.000Z,2020-04-17T08:19:38.000Z,5,15.95,68.65,2020-04-14T09:20:08.000Z,2,each,foetex,føtex Frederiksberg,d5afe44f-91f5-45ff-9758-46c3ae29224b
5712580917689,DKK,16.95,5712580917689,2020-04-18T21:59:59.000Z,2020-04-17T08:49:44.000Z,6,22.95,73.86,2020-04-17T05:28:18.000Z,1,each,foetex,føtex Frederiksberg,d5afe44f-91f5-45ff-9758-46c3ae29224b
5712580919850,DKK,17.95,5712580919850,2020-04-25T21:59:59.000Z,2020-04-17T16:04:59.000Z,15,32.95,54.48,2020-04-17T12:17:51.000Z,1,each,foetex,føtex Frederiksberg,d5afe44f-91f5-45ff-9758-46c3ae29224b
5712580919461,DKK,7.95,5712580919461,2020-04-22T21:59:59.000Z,2020-04-17T12:02:11.000Z,5,12.95,61.39,2020-04-17T12:01:44.000Z,1,each,foetex,føtex Frederiksberg,d5afe44f-91f5-45ff-9758-46c3ae29224b
5712580919478,DKK,15.25,5712580919478,2020-04-25T21:59:59.000Z,2020-04-17T12:02:31.000Z,15,30.25,50.41,2020-04-17T12:01:59.000Z,2,each,foetex,føtex Frederiksberg,d5afe44f-91f5-45ff-9758-46c3ae29224b
5712580910994,DKK,12.95,5712580910994,2020-04-18T21:59:59.000Z,2020-04-17T14:04:53.000Z,5,17.95,72.14,2020-04-14T10:52:52.000Z,2,each,foetex,føtex Frederiksberg,d5afe44f-91f5-45ff-9758-46c3ae29224b
5712580919164,DKK,2.5,5712580919164,2020-05-03T21:59:59.000Z,2020-04-17T15:49:55.000Z,2.5,5,50,2020-04-17T10:50:06.000Z,4,each,foetex,føtex Frederiksberg,d5afe44f-91f5-45ff-9758-46c3ae29224b
5712580919287,DKK,10.95,5712580919287,2020-04-22T21:59:59.000Z,2020-04-17T16:50:03.000Z,6,16.95,64.6,2020-04-17T11:11:37.000Z,1,each,foetex,føtex Frederiksberg,d5afe44f-91f5-45ff-9758-46c3ae29224b
5712580917696,DKK,12.95,5712580917696,2020-04-18T21:59:59.000Z,2020-04-17T17:04:58.000Z,6,18.95,68.34,2020-04-17T05:28:47.000Z,3,each,foetex,føtex Frederiksberg,d5afe44f-91f5-45ff-9758-46c3ae29224b
5712580919195,DKK,11.95,5712580919195,2020-04-18T21:59:59.000Z,2020-04-17T17:04:58.000Z,8,19.95,59.9,2020-04-17T10:56:45.000Z,3,each,foetex,føtex Frederiksberg,d5afe44f-91f5-45ff-9758-46c3ae29224b
5712580917580,DKK,6.75,5712580917580,2020-04-18T21:59:59.000Z,2020-04-17T17:04:58.000Z,3,9.75,69.23,2020-04-17T05:24:23.000Z,1,each,foetex,føtex Frederiksberg,d5afe44f-91f5-45ff-9758-46c3ae29224b
5712580917597,DKK,18.95,5712580917597,2020-04-18T21:59:59.000Z,2020-04-17T17:20:05.000Z,4,22.95,82.57,2020-04-17T05:25:02.000Z,1,each,foetex,føtex Frederiksberg,d5afe44f-91f5-45ff-9758-46c3ae29224b
5712580919232,DKK,9.95,5712580919232,2020-04-22T21:59:59.000Z,2020-04-17T18:35:02.000Z,5,14.95,66.56,2020-04-17T11:01:24.000Z,1,each,foetex,føtex Frederiksberg,d5afe44f-91f5-45ff-9758-46c3ae29224b
5712580919119,DKK,5.75,5712580919119,2020-04-22T21:59:59.000Z,2020-04-17T19:05:04.000Z,5,10.75,53.49,2020-04-17T10:31:43.000Z,1,each,foetex,føtex Frederiksberg,d5afe44f-91f5-45ff-9758-46c3ae29224b
5712580913377,DKK,9.95,5712580913377,2020-04-22T21:59:59.000Z,2020-04-18T07:58:43.000Z,10,19.95,49.87,2020-04-15T10:23:36.000Z,5,each,foetex,føtex Frederiksberg,d5afe44f-91f5-45ff-9758-46c3ae29224b
5712580917641,DKK,14.25,5712580917641,2020-04-18T21:59:59.000Z,2020-04-18T09:43:47.000Z,6,20.25,70.37,2020-04-17T05:27:10.000Z,1,each,foetex,føtex Frederiksberg,d5afe44f-91f5-45ff-9758-46c3ae29224b
5712580919300,DKK,10.95,5712580919300,2020-04-22T21:59:59.000Z,2020-04-18T09:58:45.000Z,5,15.95,68.65,2020-04-17T11:18:20.000Z,4,each,foetex,føtex Frederiksberg,d5afe44f-91f5-45ff-9758-46c3ae29224b
5712580919171,DKK,4.95,5712580919171,2020-05-10T21:59:59.000Z,2020-04-18T10:13:41.000Z,4,8.95,55.31,2020-04-17T10:51:01.000Z,22,each,foetex,føtex Frederiksberg,d5afe44f-91f5-45ff-9758-46c3ae29224b
5712580919157,DKK,24.95,5712580919157,2020-06-15T21:59:59.000Z,2020-04-18T10:28:40.000Z,25,49.95,49.95,2020-04-17T10:47:51.000Z,16,each,foetex,føtex Frederiksberg,d5afe44f-91f5-45ff-9758-46c3ae29224b
20017460,DKK,51,20017460,2020-04-18T22:00:00.000Z,2020-04-18T08:54:53.000Z,28,79,64.56,2020-04-17T08:01:48.000Z,17,each,netto,Netto Finsensvej,7f14a7b7-43da-4ed7-a2c2-69ae173e0d1f
20017477,DKK,51,20017477,2020-04-18T22:00:00.000Z,2020-04-18T10:54:56.000Z,28,79,64.56,2020-04-17T08:02:30.000Z,15,each,netto,Netto Finsensvej,7f14a7b7-43da-4ed7-a2c2-69ae173e0d1f
20007966,DKK,5,20007966,2020-04-18T20:00:00.000Z,2020-04-17T16:49:07.000Z,4,9,55.56,2020-04-03T05:56:57.000Z,9,each,netto,Netto Godthåbsvej 74,24b395f7-c4af-4f27-963a-36a798c779f0
20017637,DKK,10,20017637,2020-04-19T22:00:00.000Z,2020-04-18T06:41:58.000Z,2.5,12.5,80,2020-04-16T06:19:38.000Z,37,each,netto,Netto Godthåbsvej/Roxy,910841d7-8561-493c-a10e-6e2eae31f60a
20017620,DKK,10,20017620,2020-04-19T22:00:00.000Z,2020-04-18T10:57:03.000Z,2.5,12.5,80,2020-04-16T06:18:48.000Z,29,each,netto,Netto Godthåbsvej/Roxy,910841d7-8561-493c-a10e-6e2eae31f60a
20021085,DKK,6.95,20021085,2020-04-30T22:00:00.000Z,2020-04-17T13:34:01.000Z,10,16.95,41,2020-04-02T14:58:14.000Z,7,each,netto,Netto Borgmester Fischers Vej,9fe5e73e-dc8b-4a0f-9e6c-d7e921f46e3a
20021405,DKK,13.95,20021405,2020-04-30T22:00:00.000Z,2020-04-17T15:03:32.000Z,6,19.95,69.92,2020-04-02T15:05:55.000Z,78,each,netto,Netto Borgmester Fischers Vej,9fe5e73e-dc8b-4a0f-9e6c-d7e921f46e3a
20023850,DKK,9,20023850,2020-04-19T22:00:00.000Z,2020-04-17T09:22:00.000Z,9,18,50,2020-04-14T10:01:50.000Z,55,each,netto,Netto Peter Bangs Vej,1ce49718-7226-4002-9006-4e1350220ef9
20025724,DKK,15,20025724,2020-04-19T22:00:00.000Z,2020-04-17T09:22:00.000Z,20,35,42.86,2020-04-16T05:34:26.000Z,33,each,netto,Netto Peter Bangs Vej,1ce49718-7226-4002-9006-4e1350220ef9
20025717,DKK,15,20025717,2020-04-19T22:00:00.000Z,2020-04-17T10:22:09.000Z,20,35,42.86,2020-04-16T05:34:13.000Z,39,each,netto,Netto Peter Bangs Vej,1ce49718-7226-4002-9006-4e1350220ef9
20023676,DKK,9,20023676,2020-04-19T22:00:00.000Z,2020-04-17T10:37:12.000Z,9,18,50,2020-04-14T09:56:45.000Z,16,each,netto,Netto Peter Bangs Vej,1ce49718-7226-4002-9006-4e1350220ef9
20023843,DKK,9,20023843,2020-04-19T22:00:00.000Z,2020-04-17T11:37:15.000Z,9,18,50,2020-04-14T10:01:38.000Z,65,each,netto,Netto Peter Bangs Vej,1ce49718-7226-4002-9006-4e1350220ef9
20023768,DKK,20,20023768,2020-04-19T22:00:00.000Z,2020-04-17T11:52:26.000Z,10,30,66.67,2020-04-14T09:59:45.000Z,38,each,netto,Netto Peter Bangs Vej,1ce49718-7226-4002-9006-4e1350220ef9
20020491,DKK,25,20020491,2020-04-19T22:00:00.000Z,2020-04-17T12:07:20.000Z,25,50,50,2020-04-07T11:26:37.000Z,50,each,netto,Netto Peter Bangs Vej,1ce49718-7226-4002-9006-4e1350220ef9
20020446,DKK,7,20020446,2020-04-19T22:00:00.000Z,2020-04-17T12:07:20.000Z,3,10,70,2020-04-07T11:25:15.000Z,48,each,netto,Netto Peter Bangs Vej,1ce49718-7226-4002-9006-4e1350220ef9
20025649,DKK,4,20025649,2020-04-19T22:00:00.000Z,2020-04-17T12:37:24.000Z,6,10,40,2020-04-16T05:32:25.000Z,16,each,netto,Netto Peter Bangs Vej,1ce49718-7226-4002-9006-4e1350220ef9
